title,module,labels,due_date,estimate_hours,slot,description
"Configurar repositorio, Project e issues base","ED","mod:ED,tipo:documentacion,prio:alta,tipo:entrega","2026-05-04","5","A","Crear repositorio GitHub, tablero Project, columnas, campos, etiquetas de modulo y estructura inicial de seguimiento."
"Publicar Wiki: Contrato de equipo y Roles","IPEI","mod:IPEI,tipo:documentacion,prio:alta,tipo:entrega","2026-05-04","5","B","Firmar contrato de equipo, definir roles, politica de rotacion y publicar paginas Contrato de equipo y Roles en la Wiki."
"Preparar Lab AWS y claves PEM","SI","mod:SI,tipo:infraestructura,prio:alta,bloqueante,tipo:entrega","2026-05-04","5","C","Designar responsable AWS, generar par de claves PEM, documentar custodia y acceso SSH previsto."
"Analizar requisitos de inventario del taller","BD","mod:BD,tipo:bd,bloqueante","2026-05-04","5","D","Listar entidades, atributos minimos, estados, ubicaciones, prestamos y necesidades de informes antes del modelo E/R."
"Crear esqueleto NetBeans Java Swing","PROG","mod:PROG,tipo:java,bloqueante","2026-05-04","5","E","Crear proyecto Java, paquetes base, ventana inicial vacia y convenciones de codigo para el equipo."
"Crear plantilla de cuaderno diario","ED","mod:ED,tipo:documentacion,cuaderno-trabajo,prio:alta,tipo:entrega","2026-05-05","5","A","Anadir .github/ISSUE_TEMPLATE/cuaderno_trabajo.md y crear el primer issue diario con acuerdos, tareas y evidencias."
"Borrador del diagrama E/R","BD","mod:BD,tipo:bd,prio:alta,bloqueante","2026-05-05","5","B","Crear primer E/R con material, categorias, ubicaciones, usuarios, prestamos, movimientos y relaciones principales."
"Plan de arquitectura AWS","SI","mod:SI,tipo:infraestructura,bloqueante","2026-05-05","5","C","Definir VPC, subredes AZ-A/AZ-B, EC2-1, EC2-2, Elastic IPs, reglas de Security Group y diagrama preliminar."
"Estructura inicial del sitio web","LMSGI","mod:LMSGI,tipo:web,bloqueante","2026-05-05","5","D","Crear estructura HTML con header, nav, main, footer y primer plano visual del taller."
"Pantalla de login y navegacion inicial","PROG","mod:PROG,tipo:java,bloqueante","2026-05-05","5","E","Implementar pantalla de acceso, roles previstos Administrador/Profesor y menu principal inicial."
"Entrega diagrama de clases","ED","mod:ED,tipo:documentacion,prio:alta,tipo:entrega","2026-05-06","5","A","Crear diagrama de clases completo con atributos, metodos, relaciones y cardinalidades iniciales."
"Entrega diseno E/R","BD","mod:BD,tipo:bd,prio:alta,tipo:entrega,bloqueante","2026-05-06","5","B","Finalizar diagrama E/R y exportarlo como imagen para README y documentacion."
"Plantilla Guia de despliegue","SI","mod:SI,tipo:documentacion,tipo:infraestructura,prio:alta,tipo:entrega","2026-05-06","5","C","Crear Guia-despliegue-EquipoX en Word con portada, indice, secciones AWS, EC2-1, EC2-2, SSH/SFTP y webgrafia."
"CSS base y layout del sitio","LMSGI","mod:LMSGI,tipo:web","2026-05-06","5","D","Crear hoja CSS comun, paleta, grid/flex, estilos de ubicaciones y responsive basico."
"Conexion BD Singleton y DAO base","PROG","mod:PROG,tipo:java,bloqueante","2026-05-06","5","E","Implementar clase de conexion Singleton, DAO generico o base, configuracion JDBC y prueba local."
